
Processing dataset
Estimated duration for training and optimization: 64000 ms (1 min 4 sec)
Creating a new network

Iteration number 1
NMSE is 15.777 on Training Set and  3.536 on Test Set
NMSE is  8.066 on Training Set and  3.178 on Test Set
NMSE is  2.405 on Training Set and  0.596 on Test Set
NMSE is  2.235 on Training Set and  0.468 on Test Set
NMSE is  2.200 on Training Set and  0.458 on Test Set
NMSE is  2.179 on Training Set and  0.453 on Test Set
NMSE is  2.163 on Training Set and  0.448 on Test Set
NMSE is  2.153 on Training Set and  0.442 on Test Set
NMSE is  2.144 on Training Set and  0.440 on Test Set
NMSE is  2.136 on Training Set and  0.434 on Test Set
NMSE is  2.131 on Training Set and  0.434 on Test Set
NMSE is  2.127 on Training Set and  0.432 on Test Set
NMSE is  2.123 on Training Set and  0.432 on Test Set
NMSE is  2.119 on Training Set and  0.430 on Test Set
NMSE is  2.114 on Training Set and  0.427 on Test Set
NMSE is  2.110 on Training Set and  0.426 on Test Set
NMSE is  2.105 on Training Set and  0.425 on Test Set
NMSE is  2.102 on Training Set and  0.425 on Test Set
NMSE is  2.096 on Training Set and  0.421 on Test Set
NMSE is  2.087 on Training Set and  0.420 on Test Set
NMSE is  2.080 on Training Set and  0.419 on Test Set
NMSE is  2.072 on Training Set and  0.419 on Test Set
NMSE is  2.063 on Training Set and  0.416 on Test Set
NMSE is  2.053 on Training Set and  0.413 on Test Set
NMSE is  2.041 on Training Set and  0.411 on Test Set
NMSE is  2.029 on Training Set and  0.409 on Test Set
NMSE is  2.016 on Training Set and  0.408 on Test Set
NMSE is  2.001 on Training Set and  0.403 on Test Set
NMSE is  1.983 on Training Set and  0.396 on Test Set
NMSE is  1.966 on Training Set and  0.392 on Test Set
NMSE is  1.942 on Training Set and  0.386 on Test Set
NMSE is  1.918 on Training Set and  0.381 on Test Set
NMSE is  1.892 on Training Set and  0.377 on Test Set
NMSE is  1.871 on Training Set and  0.374 on Test Set
NMSE is  1.847 on Training Set and  0.370 on Test Set
NMSE is  1.813 on Training Set and  0.369 on Test Set
NMSE is  1.786 on Training Set and  0.360 on Test Set
NMSE is  1.760 on Training Set and  0.355 on Test Set
NMSE is  1.728 on Training Set and  0.344 on Test Set
NMSE is  1.688 on Training Set and  0.337 on Test Set
NMSE is  1.658 on Training Set and  0.330 on Test Set
NMSE is  1.628 on Training Set and  0.326 on Test Set
NMSE is  1.596 on Training Set and  0.318 on Test Set
NMSE is  1.565 on Training Set and  0.312 on Test Set
NMSE is  1.528 on Training Set and  0.298 on Test Set
NMSE is  1.495 on Training Set and  0.294 on Test Set
NMSE is  1.459 on Training Set and  0.281 on Test Set
NMSE is  1.406 on Training Set and  0.265 on Test Set
NMSE is  1.369 on Training Set and  0.265 on Test Set
NMSE is  1.336 on Training Set and  0.256 on Test Set
NMSE is  1.301 on Training Set and  0.241 on Test Set
NMSE is  1.266 on Training Set and  0.235 on Test Set
NMSE is  1.236 on Training Set and  0.231 on Test Set
NMSE is  1.197 on Training Set and  0.217 on Test Set
NMSE is  1.161 on Training Set and  0.205 on Test Set
NMSE is  1.128 on Training Set and  0.198 on Test Set
NMSE is  1.093 on Training Set and  0.190 on Test Set
NMSE is  1.059 on Training Set and  0.182 on Test Set
NMSE is  1.019 on Training Set and  0.171 on Test Set
NMSE is  0.971 on Training Set and  0.164 on Test Set
NMSE is  0.928 on Training Set and  0.164 on Test Set
NMSE is  0.896 on Training Set and  0.153 on Test Set
NMSE is  0.862 on Training Set and  0.145 on Test Set
NMSE is  0.825 on Training Set and  0.145 on Test Set
NMSE is  0.786 on Training Set and  0.140 on Test Set
NMSE is  0.749 on Training Set and  0.136 on Test Set
NMSE is  0.715 on Training Set and  0.125 on Test Set
NMSE is  0.667 on Training Set and  0.117 on Test Set
NMSE is  0.633 on Training Set and  0.107 on Test Set
NMSE is  0.576 on Training Set and  0.100 on Test Set
NMSE is  0.540 on Training Set and  0.097 on Test Set
NMSE is  0.506 on Training Set and  0.089 on Test Set
NMSE is  0.475 on Training Set and  0.079 on Test Set
NMSE is  0.428 on Training Set and  0.076 on Test Set
NMSE is  0.389 on Training Set and  0.067 on Test Set
NMSE is  0.360 on Training Set and  0.063 on Test Set
NMSE is  0.332 on Training Set and  0.055 on Test Set
NMSE is  0.295 on Training Set and  0.055 on Test Set
